"Ext","Name","SizeMB","Modified","Path"
".aip","HistoryPanelUI.aip","0,73","2026-07-03","Plug-ins\Extensions\HistoryPanelUI.aip"
".dll","AXSLE.dll","0,72","2026-07-03","Support Files\Contents\Windows\AXSLE.dll"
".dll","NFTWin_MacEnc.dll","0,72","2026-07-03","Support Files\Required\Linguistics\Providers\Plugins2\WRLiloPlugin1.3\NFTWin_MacEnc.dll"
".dll","dvasystemcompatibilityreport.dll","0,71","2026-07-03","Support Files\Contents\Windows\dvasystemcompatibilityreport.dll"
".aip","PathCoreUI.aip","0,71","2026-07-03","Plug-ins\Extensions\PathCoreUI.aip"
".aip","SymbolPalette.aip","0,71","2026-07-03","Plug-ins\Extensions\SymbolPalette.aip"
".aip","DesignLibrary.aip","0,7","2026-07-03","Plug-ins\Illustrator UI\DesignLibrary.aip"
".aip","BrushManagerUI.aip","0,7","2026-07-03","Plug-ins\Illustrator UI\BrushManagerUI.aip"
".dll","adobeusd_plug.dll","0,7","2026-07-03","Support Files\Contents\Windows\adobeusd_plug.dll"
".aip","PDFFormatUI.aip","0,7","2026-07-03","Plug-ins\Illustrator UI\PDFFormatUI.aip"
".aip","UxpExtension.aip","0,69","2026-07-03","Plug-ins\Extensions\UxpExtension.aip"
".dll","dvaaiuxp.dll","0,68","2026-07-03","Support Files\Contents\Windows\dvaaiuxp.dll"
".aip","Perspective.aip","0,68","2026-07-03","Plug-ins\Extensions\Perspective.aip"
".aip","ImageDecoderEncoder.aip","0,68","2026-07-03","Plug-ins\Illustrator Formats\ImageDecoderEncoder.aip"
".dll","SangamML.dll","0,67","2026-07-03","Support Files\Contents\Windows\SangamML.dll"
".dll","MORPHLibs.dll","0,66","2026-07-03","Support Files\Required\Linguistics\Providers\Plugins2\WRLiloPlugin1.3\MORPHLibs.dll"
".dll","CNSWin_MacEnc.dll","0,65","2026-07-03","Support Files\Required\Linguistics\Providers\Plugins2\WRLiloPlugin1.3\CNSWin_MacEnc.dll"
".dll","boost_program_options.dll","0,65","2026-07-03","Support Files\Contents\Windows\boost_program_options.dll"
".dll","adobeusd_ar.dll","0,64","2026-07-03","Support Files\Contents\Windows\adobeusd_ar.dll"
".aip","PropertiesPanel.aip","0,64","2026-07-03","Plug-ins\Extensions\PropertiesPanel.aip"
".aip","Commenting.aip","0,64","2026-07-03","Plug-ins\Extensions\Commenting.aip"
".dll","ahclient.dll","0,63","2026-07-03","Support Files\Contents\Windows\ahclient.dll"
".exe","IllustratorDiagnosys.exe","0,62","2026-07-03","Support Files\Contents\Windows\IllustratorDiagnosys.exe"
".dll","tbb12.dll","0,62","2026-07-03","Support Files\Contents\Windows\tbb12.dll"
".dll","JP2KLib.dll","0,62","2026-07-03","Support Files\Contents\Windows\JP2KLib.dll"
".dll","aif.dll","0,62","2026-07-03","Support Files\Contents\Windows\aif.dll"
".dll","flann.dll","0,61","2026-07-03","Support Files\Contents\Windows\flann.dll"
".aip","LiveBlends.aip","0,61","2026-07-03","Plug-ins\Extensions\LiveBlends.aip"
".aip","SmartEdit.aip","0,61","2026-07-03","Plug-ins\Extensions\SmartEdit.aip"
".dll","adobeusd_arch.dll","0,6","2026-07-03","Support Files\Contents\Windows\adobeusd_arch.dll"
".aip","Materials.aip","0,6","2026-07-03","Plug-ins\Illustrator Filters\Materials.aip"
".aip","SmartExport.aip","0,59","2026-07-03","Plug-ins\Extensions\SmartExport.aip"
".aip","FWAlignADM.aip","0,58","2026-07-03","Plug-ins\Extensions\FWAlignADM.aip"
".aip","ArtOnPathBrushToolUI.aip","0,58","2026-07-03","Plug-ins\Illustrator UI\ArtOnPathBrushToolUI.aip"
".aip","AppBarControls.aip","0,58","2026-07-03","Plug-ins\Extensions\AppBarControls.aip"
".aip","PathCore.aip","0,57","2026-07-03","Plug-ins\Extensions\PathCore.aip"
